pop Lon Lat presentT RCP8.5 closestLon closestLat
1 -57 59 4.73847484588623 5.51251077651978 -56.9583333333333 58.9583333333333
2 -53.5 55.2 4.12198400497437 6.05267429351807 -53.4583333333333 55.2083333333333
3 -56.5 58 5.01317501068115 6.09869050979614 -56.4583333333333 57.9583333333333
4 -55 52 2.9896719455719 6.33358287811279 -54.9583333333333 51.9583333333333
5 -55 56 4.83745813369751 6.49140310287476 -54.9583333333333 55.9583333333333
6 -52 58 5.31436109542847 6.81046485900879 -51.9583333333333 57.9583333333333
7 -50.5 52 4.5067720413208 6.9704384803772 -50.4583333333333 51.9583333333333
8 -52.5 51 4.03669404983521 6.99697971343994 -52.4583333333333 50.9583333333333
9 -51.5 54 5.23989200592041 7.09103870391846 -51.4583333333333 53.9583333333333
10 -50 51 4.55136585235596 7.22674036026001 -49.9583333333333 50.9583333333333
11 -54 50.4 4.02450609207153 7.61312437057495 -53.9583333333333 50.375
12 -50 50 4.71089601516724 7.62827062606812 -49.9583333333333 49.9583333333333
13 -49.5 51 5.27289915084839 7.91926860809326 -49.4583333333333 50.9583333333333
14 -48 55 6.30403614044189 7.97587585449219 -47.9583333333333 54.9583333333333
15 -49 50 6.01392078399658 8.84894275665283 -48.9583333333333 49.9583333333333
16 -47.5 48 5.38783502578735 9.08753299713135 -47.4583333333333 47.9583333333333
17 -48 51 7.2146201133728 9.83005428314209 -47.9583333333333 50.9583333333333
18 -50 47 6.41631507873535 10.2855987548828 -49.9583333333333 46.9583333333333
19 -47 49 7.58031702041626 10.5233516693115 -46.9583333333333 48.9583333333333
20 -47.5 46.5 5.7611517906189 10.6540269851685 -47.4583333333333 46.4583333333333
21 -47 52 8.54788875579834 10.7711915969849 -46.9583333333333 51.9583333333333
22 -57 45.5 8.06006908416748 12.4204816818237 -56.9583333333333 45.4583333333333
23 -52 45.4 8.1415548324585 12.4217042922974 -51.9583333333333 45.375
24 -51.5 45 8.71183204650879 13.0979843139648 -51.4583333333333 44.9583333333333
25 -47 46 7.89031887054443 13.2672939300537 -46.9583333333333 45.9583333333333
26 -50 44 8.67188930511475 13.669677734375 -49.9583333333333 43.9583333333333
27 -51 43 10.6097221374512 14.8652181625366 -50.9583333333333 42.9583333333333
28 -63 42.5 12.1681871414185 15.8308172225952 -62.9583333333333 42.4583333333333
29 -59.5 43 12.3123903274536 15.9718580245972 -59.4583333333333 42.9583333333333
30 -55 43.5 12.435923576355 16.3180961608887 -54.9583333333333 43.4583333333333
31 -66 41 14.6299171447754 17.3960151672363 -65.9583333333333 40.9583333333333
32 -57.5 42.7 14.3640756607056 17.8384704589844 -57.4583333333333 42.7083333333333
33 -68 40 17.2041778564453 19.7105751037598 -67.9583333333333 39.9583333333333
34 -54 42 16.569185256958 20.2192974090576 -53.9583333333333 41.9583333333333
35 -64 41 17.5566654205322 20.4626331329346 -63.9583333333333 40.9583333333333
36 -71.6 39 18.3940181732178 20.7168941497803 -71.625 38.9583333333333
37 -69 39.4 18.6043815612793 20.9322452545166 -68.9583333333333 39.375
38 -72.1 38.2 19.3193492889404 21.5708332061768 -72.125 38.2083333333333
39 -71 38.5 19.7028961181641 21.9679889678955 -70.9583333333333 38.4583333333333
40 -73 37.5 20.0982913970947 22.467378616333 -72.9583333333333 37.4583333333333
41 -67 39 20.4683704376221 22.733793258667 -66.9583333333333 38.9583333333333
42 -65.5 39 21.071605682373 23.4097900390625 -65.4583333333333 38.9583333333333
43 -62 40 21.0800495147705 23.7655448913574 -61.9583333333333 39.9583333333333
44 -73.5 36.8 21.3589897155762 23.7731628417969 -73.4583333333333 36.7916666666667
45 -68 38.2 21.7524108886719 24.0621566772461 -67.9583333333333 38.2083333333333
46 -66 38.5 21.915060043335 24.2236824035645 -65.9583333333333 38.4583333333333
47 -61 39.5 21.9215774536133 24.5113582611084 -60.9583333333333 39.4583333333333
48 -68 38 22.5875930786133 24.9509391784668 -67.9583333333333 37.9583333333333
49 -67 38 22.801830291748 25.1743564605713 -66.9583333333333 37.9583333333333
50 -74 36.2 22.8186550140381 25.2882461547852 -73.9583333333333 36.2083333333333
51 -64 38 23.0298023223877 25.48557472229 -63.9583333333333 37.9583333333333
52 -69.5 36.5 23.3842124938965 25.8378505706787 -69.4583333333333 36.4583333333333
53 -67.5 37 23.5721569061279 26.020565032959 -67.4583333333333 36.9583333333333
54 -70 37 23.9256420135498 26.329704284668 -69.9583333333333 36.9583333333333
