pop	Lon	Lat
1	-57	59
2	-53.5	55.2
3	-56.5	58
4	-55	52
5	-55	56
6	-52	58
7	-50.5	52
8	-52.5	51
9	-51.5	54
10	-50	51
11	-54	50.4
12	-50	50
13	-49.5	51
14	-48	55
15	-49	50
16	-47.5	48
17	-48	51
18	-50	47
19	-47	49
20	-47.5	46.5
21	-47	52
22	-57	45.5
23	-52	45.4
24	-51.5	45
25	-47	46
26	-50	44
27	-51	43
28	-63	42.5
29	-59.5	43
30	-55	43.5
31	-66	41
32	-57.5	42.7
33	-68	40
34	-54	42
35	-64	41
36	-71.6	39
37	-69	39.4
38	-72.1	38.2
39	-71	38.5
40	-73	37.5
41	-67	39
42	-65.5	39
43	-62	40
44	-73.5	36.8
45	-68	38.2
46	-66	38.5
47	-61	39.5
48	-68	38
49	-67	38
50	-74	36.2
51	-64	38
52	-69.5	36.5
53	-67.5	37
54	-70	37
